  T [ns],  phasein,      xin,      yin,     xout,     yout, phaseout
    9250,    23903,    13568,        0,     9170,    20375,   131029
    9270,    23956,    13568,        0,     9170,    20375,       10
    9290,    24009,    13568,        0,     9170,    20375,       63
    9310,    24062,    13568,        0,     9011,    20446,   131025
    9330,    24115,    13568,        0,     9011,    20446,        6
    9350,    24168,    13568,        0,     9011,    20446,       59
    9370,    24221,    13568,        0,     8851,    20515,   131021
    9390,    24274,    13568,        0,     8851,    20515,        2
    9410,    24327,    13568,        0,     8851,    20515,       55
    9430,    24380,    13568,        0,     8690,    20584,   131017
    9450,    24433,    13568,        0,     8690,    20584,   131070
    9470,    24486,    13568,        0,     8690,    20584,       51
    9490,    24539,    13568,        0,     8529,    20651,   131013
    9510,    24592,    13568,        0,     8529,    20651,   131066
    9530,    24645,    13568,        0,     8529,    20651,       47
    9550,    24698,    13568,        0,     8367,    20717,   131009
    9570,    24751,    13568,        0,     8367,    20717,   131062
    9590,    24804,    13568,        0,     8367,    20717,       43
    9610,    24857,    13568,        0,     8206,    20782,   131006
    9630,    24910,    13568,        0,     8206,    20782,   131059
    9650,    24963,    13568,        0,     8206,    20782,       40
    9670,    25016,    13568,        0,     8043,    20845,   131002
    9690,    25069,    13568,        0,     8043,    20845,   131055
    9710,    25122,    13568,        0,     8043,    20845,       36
    9730,    25175,    13568,        0,     7880,    20908,   130998
    9750,    25228,    13568,        0,     7880,    20908,   131051
    9770,    25281,    13568,        0,     7880,    20908,       32
    9790,    25334,    13568,        0,     7716,    20968,   130994
    9810,    25387,    13568,        0,     7716,    20968,   131047
    9830,    25440,    13568,        0,     7716,    20968,       28
    9850,    25493,    13568,        0,     7716,    20968,       81
    9870,    25546,    13568,        0,     7552,    21028,   131043
    9890,    25599,    13568,        0,     7552,    21028,       24
    9910,    25652,    13568,        0,     7552,    21028,       77
    9930,    25705,    13568,        0,     7388,    21086,   131039
    9950,    25758,    13568,        0,     7388,    21086,       20
    9970,    25811,    13568,        0,     7388,    21086,       73
    9990,    25864,    13568,        0,     7223,    21143,   131035
   10010,    25917,    13568,        0,     7223,    21143,       16
   10030,    25970,    13568,        0,     7223,    21143,       69
   10050,    26023,    13568,        0,     7058,    21199,   131031
   10070,    26076,    13568,        0,     7074,    21194,       28
   10090,    26129,    13568,        0,     7074,    21194,       81
